DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 noisy_f2_4_x-c1319_n78_snr_15.wav	 2.559	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n78_snr_15.wav	 2.741	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n78_snr_5.wav	 1.977	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n78_snr_5.wav	 2.066	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_STATION_ch01_snr_0.wav	 1.740	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_STATION_ch01_snr_0.wav	 2.128	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_STATION_ch01_snr_10.wav	 2.452	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_STATION_ch01_snr_10.wav	 2.725	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_STATION_ch01_snr_15.wav	 2.775	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_STATION_ch01_snr_15.wav	 2.965	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_STATION_ch01_snr_5.wav	 2.112	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_STATION_ch01_snr_5.wav	 2.435	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_STO_16k_ch01_snr_0.wav	 1.495	 0.000	 0	 16000	-0.0040
 enhanced_f2_4_x-c1319_STO_16k_ch01_snr_0.wav	 1.703	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_STO_16k_ch01_snr_10.wav	 2.125	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_STO_16k_ch01_snr_10.wav	 2.341	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_STO_16k_ch01_snr_15.wav	 2.467	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_STO_16k_ch01_snr_15.wav	 2.715	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_STO_16k_ch01_snr_5.wav	 1.791	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_STO_16k_ch01_snr_5.wav	 1.966	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_TER_16k_ch01_snr_0.wav	 1.871	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_TER_16k_ch01_snr_0.wav	 2.192	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_TER_16k_ch01_snr_10.wav	 2.523	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_TER_16k_ch01_snr_10.wav	 2.801	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_TER_16k_ch01_snr_15.wav	 2.805	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_TER_16k_ch01_snr_15.wav	 3.042	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_TER_16k_ch01_snr_5.wav	 2.191	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_TER_16k_ch01_snr_5.wav	 2.526	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_WAY_16k_ch01_snr_0.wav	 3.170	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_WAY_16k_ch01_snr_0.wav	 3.100	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_WAY_16k_ch01_snr_10.wav	 3.657	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_WAY_16k_ch01_snr_10.wav	 3.361	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_WAY_16k_ch01_snr_15.wav	 3.791	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_WAY_16k_ch01_snr_15.wav	 3.427	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_WAY_16k_ch01_snr_5.wav	 3.454	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_WAY_16k_ch01_snr_5.wav	 3.266	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1956_ARK_16k_ch01_snr_0.wav	 2.302	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1956_ARK_16k_ch01_snr_0.wav	 2.793	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1956_ARK_16k_ch01_snr_10.wav	 3.059	 0.000	 0	 16000	0.0000
