speaker file snr pesq_noisy pesq_enhanced
1 f2_4_x-c2161_CAR_16k_ch01_snr_10 10 3.728000 3.485000
1 f2_4_x-c2161_CAR_16k_ch01_snr_15 15 3.874000 3.513000
1 f2_4_x-c2161_CAR_16k_ch01_snr_5 5 3.501000 3.442000
1 f2_4_x-c2161_HEN_16k.ch01_snr_0 0 2.075000 2.614000
1 f2_4_x-c2161_HEN_16k.ch01_snr_10 10 2.774000 3.131000
1 f2_4_x-c2161_HEN_16k.ch01_snr_15 15 3.076000 3.371000
1 f2_4_x-c2161_HEN_16k.ch01_snr_5 5 2.432000 2.873000
1 f2_4_x-c2161_ING_16k_ch01_snr_0 0 2.029000 2.310000
1 f2_4_x-c2161_ING_16k_ch01_snr_10 10 2.645000 2.922000
1 f2_4_x-c2161_ING_16k_ch01_snr_15 15 2.938000 3.187000
1 f2_4_x-c2161_ING_16k_ch01_snr_5 5 2.346000 2.597000
1 f2_4_x-c2161_n16_snr_0 0 1.572000 1.833000
1 f2_4_x-c2161_n16_snr_10 10 1.998000 2.459000
1 f2_4_x-c2161_n16_snr_15 15 2.337000 2.723000
1 f2_4_x-c2161_n16_snr_5 5 1.752000 2.163000
1 f2_4_x-c2161_n17_snr_0 0 1.478000 1.746000
1 f2_4_x-c2161_n17_snr_10 10 1.908000 2.413000
1 f2_4_x-c2161_n17_snr_15 15 2.236000 2.674000
1 f2_4_x-c2161_n17_snr_5 5 1.669000 2.112000
1 f2_4_x-c2161_n28_snr_0 0 1.698000 2.051000
1 f2_4_x-c2161_n28_snr_10 10 2.241000 2.717000
1 f2_4_x-c2161_n28_snr_15 15 2.562000 2.991000
1 f2_4_x-c2161_n28_snr_5 5 1.926000 2.412000
1 f2_4_x-c2161_n29_snr_0 0 1.450000 1.982000
1 f2_4_x-c2161_n29_snr_10 10 2.120000 2.652000
1 f2_4_x-c2161_n29_snr_15 15 2.442000 2.901000
1 f2_4_x-c2161_n29_snr_5 5 1.757000 2.354000
1 f2_4_x-c2161_n68_snr_0 0 1.473000 2.014000
1 f2_4_x-c2161_n68_snr_10 10 2.045000 2.583000
1 f2_4_x-c2161_n68_snr_15 15 2.384000 2.812000
1 f2_4_x-c2161_n68_snr_5 5 1.734000 2.318000
1 f2_4_x-c2161_n69_snr_0 0 1.290000 1.935000
1 f2_4_x-c2161_n69_snr_10 10 1.848000 2.480000
1 f2_4_x-c2161_n69_snr_15 15 2.216000 2.749000
1 f2_4_x-c2161_n69_snr_5 5 1.541000 2.211000
1 f2_4_x-c2161_n77_snr_0 0 1.675000 1.705000
1 f2_4_x-c2161_n77_snr_10 10 2.282000 2.410000
1 f2_4_x-c2161_n77_snr_15 15 2.626000 2.728000
1 f2_4_x-c2161_n77_snr_5 5 1.971000 2.081000
1 f2_4_x-c2161_n78_snr_0 0 0.922000 1.775000
1 f2_4_x-c2161_n78_snr_10 10 2.306000 2.413000
1 f2_4_x-c2161_n78_snr_15 15 2.636000 2.760000
1 f2_4_x-c2161_n78_snr_5 5 2.008000 2.071000
1 f2_4_x-c2161_STATION_ch01_snr_0 0 1.560000 2.132000
1 f2_4_x-c2161_STATION_ch01_snr_10 10 2.363000 2.800000
1 f2_4_x-c2161_STATION_ch01_snr_15 15 2.726000 3.093000
1 f2_4_x-c2161_STATION_ch01_snr_5 5 1.954000 2.479000
1 f2_4_x-c2161_STO_16k_ch01_snr_0 0 1.392000 1.829000
1 f2_4_x-c2161_STO_16k_ch01_snr_10 10 2.144000 2.574000
1 f2_4_x-c2161_STO_16k_ch01_snr_15 15 2.541000 2.915000
1 f2_4_x-c2161_STO_16k_ch01_snr_5 5 1.736000 2.197000
1 f2_4_x-c2161_TER_16k_ch01_snr_0 0 1.792000 2.165000
1 f2_4_x-c2161_TER_16k_ch01_snr_10 10 2.529000 2.902000
1 f2_4_x-c2161_TER_16k_ch01_snr_15 15 2.902000 3.207000
1 f2_4_x-c2161_TER_16k_ch01_snr_5 5 2.150000 2.513000
1 f2_4_x-c2161_WAY_16k_ch01_snr_0 0 2.860000 3.270000
1 f2_4_x-c2161_WAY_16k_ch01_snr_10 10 3.367000 3.499000
1 f2_4_x-c2161_WAY_16k_ch01_snr_15 15 3.529000 3.527000
1 f2_4_x-c2161_WAY_16k_ch01_snr_5 5 3.148000 3.415000
0 m1_3_t-c1151_ARK_16k_ch01_snr_0 0 2.778000 3.040000
0 m1_3_t-c1151_ARK_16k_ch01_snr_10 10 3.342000 3.361000
0 m1_3_t-c1151_ARK_16k_ch01_snr_15 15 3.571000 3.462000
0 m1_3_t-c1151_ARK_16k_ch01_snr_5 5 3.073000 3.245000
0 m1_3_t-c1151_CAR_16k_ch01_snr_0 0 3.449000 3.415000
0 m1_3_t-c1151_CAR_16k_ch01_snr_10 10 3.953000 3.494000
0 m1_3_t-c1151_CAR_16k_ch01_snr_15 15 4.110000 3.497000
0 m1_3_t-c1151_CAR_16k_ch01_snr_5 5 3.733000 3.464000
0 m1_3_t-c1151_HEN_16k.ch01_snr_0 0 2.483000 2.779000
0 m1_3_t-c1151_HEN_16k.ch01_snr_10 10 3.100000 3.209000
0 m1_3_t-c1151_HEN_16k.ch01_snr_15 15 3.332000 3.399000
0 m1_3_t-c1151_HEN_16k.ch01_snr_5 5 2.792000 3.016000
0 m1_3_t-c1151_ING_16k_ch01_snr_0 0 2.513000 2.367000
0 m1_3_t-c1151_ING_16k_ch01_snr_10 10 3.097000 2.961000
0 m1_3_t-c1151_ING_16k_ch01_snr_15 15 3.326000 3.225000
0 m1_3_t-c1151_ING_16k_ch01_snr_5 5 2.820000 2.664000
0 m1_3_t-c1151_n16_snr_0 0 2.060000 2.080000
