speaker file snr pesq_noisy pesq_enhanced
1 f2_4_x-c2025_n16_snr_10 10 2.018000 2.377000
1 f2_4_x-c2025_n16_snr_15 15 2.349000 2.670000
1 f2_4_x-c2025_n16_snr_5 5 1.771000 2.044000
1 f2_4_x-c2025_n17_snr_0 0 1.426000 1.591000
1 f2_4_x-c2025_n17_snr_10 10 1.881000 2.285000
1 f2_4_x-c2025_n17_snr_15 15 2.225000 2.575000
1 f2_4_x-c2025_n17_snr_5 5 1.615000 1.971000
1 f2_4_x-c2025_n28_snr_0 0 1.679000 1.799000
1 f2_4_x-c2025_n28_snr_10 10 2.151000 2.442000
1 f2_4_x-c2025_n28_snr_15 15 2.497000 2.766000
1 f2_4_x-c2025_n28_snr_5 5 1.874000 2.128000
1 f2_4_x-c2025_n29_snr_0 0 1.368000 1.963000
1 f2_4_x-c2025_n29_snr_10 10 2.083000 2.610000
1 f2_4_x-c2025_n29_snr_15 15 2.444000 2.861000
1 f2_4_x-c2025_n29_snr_5 5 1.724000 2.320000
1 f2_4_x-c2025_n68_snr_0 0 1.303000 1.749000
1 f2_4_x-c2025_n68_snr_10 10 1.910000 2.412000
1 f2_4_x-c2025_n68_snr_15 15 2.309000 2.691000
1 f2_4_x-c2025_n68_snr_5 5 1.573000 2.104000
1 f2_4_x-c2025_n69_snr_0 0 1.384000 1.768000
1 f2_4_x-c2025_n69_snr_10 10 1.890000 2.373000
1 f2_4_x-c2025_n69_snr_15 15 2.254000 2.654000
1 f2_4_x-c2025_n69_snr_5 5 1.598000 2.086000
1 f2_4_x-c2025_n77_snr_0 0 1.528000 1.506000
1 f2_4_x-c2025_n77_snr_10 10 2.089000 2.258000
1 f2_4_x-c2025_n77_snr_15 15 2.441000 2.634000
1 f2_4_x-c2025_n77_snr_5 5 1.774000 1.865000
1 f2_4_x-c2025_n78_snr_0 0 1.580000 1.615000
1 f2_4_x-c2025_n78_snr_10 10 2.140000 2.277000
1 f2_4_x-c2025_n78_snr_15 15 2.485000 2.628000
1 f2_4_x-c2025_n78_snr_5 5 1.836000 1.926000
1 f2_4_x-c2025_STATION_ch01_snr_0 0 1.469000 1.941000
1 f2_4_x-c2025_STATION_ch01_snr_10 10 2.341000 2.669000
1 f2_4_x-c2025_STATION_ch01_snr_15 15 2.721000 2.937000
1 f2_4_x-c2025_STATION_ch01_snr_5 5 1.900000 2.342000
1 f2_4_x-c2025_STO_16k_ch01_snr_0 0 1.271000 1.660000
1 f2_4_x-c2025_STO_16k_ch01_snr_10 10 2.063000 2.433000
1 f2_4_x-c2025_STO_16k_ch01_snr_15 15 2.505000 2.746000
1 f2_4_x-c2025_STO_16k_ch01_snr_5 5 1.641000 2.071000
1 f2_4_x-c2025_TER_16k_ch01_snr_0 0 1.629000 1.925000
1 f2_4_x-c2025_TER_16k_ch01_snr_10 10 2.410000 2.701000
1 f2_4_x-c2025_TER_16k_ch01_snr_15 15 2.773000 2.970000
1 f2_4_x-c2025_TER_16k_ch01_snr_5 5 1.999000 2.327000
1 f2_4_x-c2025_WAY_16k_ch01_snr_0 0 3.005000 3.042000
1 f2_4_x-c2025_WAY_16k_ch01_snr_10 10 3.484000 3.185000
1 f2_4_x-c2025_WAY_16k_ch01_snr_15 15 3.663000 3.208000
1 f2_4_x-c2025_WAY_16k_ch01_snr_5 5 3.251000 3.137000
1 f2_4_x-c2161_ARK_16k_ch01_snr_0 0 2.172000 2.695000
1 f2_4_x-c2161_ARK_16k_ch01_snr_10 10 2.885000 3.150000
1 f2_4_x-c2161_ARK_16k_ch01_snr_15 15 3.149000 3.286000
1 f2_4_x-c2161_ARK_16k_ch01_snr_5 5 2.544000 2.932000
1 f2_4_x-c2161_CAR_16k_ch01_snr_0 0 3.219000 3.264000
1 f2_4_x-c2161_CAR_16k_ch01_snr_10 10 3.728000 3.356000
1 f2_4_x-c2161_CAR_16k_ch01_snr_15 15 3.874000 3.373000
1 f2_4_x-c2161_CAR_16k_ch01_snr_5 5 3.501000 3.319000
1 f2_4_x-c2161_HEN_16k.ch01_snr_0 0 2.075000 2.625000
1 f2_4_x-c2161_HEN_16k.ch01_snr_10 10 2.774000 3.056000
1 f2_4_x-c2161_HEN_16k.ch01_snr_15 15 3.076000 3.220000
1 f2_4_x-c2161_HEN_16k.ch01_snr_5 5 2.432000 2.867000
1 f2_4_x-c2161_ING_16k_ch01_snr_0 0 2.029000 2.313000
1 f2_4_x-c2161_ING_16k_ch01_snr_10 10 2.645000 2.888000
1 f2_4_x-c2161_ING_16k_ch01_snr_15 15 2.938000 3.113000
1 f2_4_x-c2161_ING_16k_ch01_snr_5 5 2.346000 2.578000
1 f2_4_x-c2161_n16_snr_0 0 1.572000 1.809000
1 f2_4_x-c2161_n16_snr_10 10 1.998000 2.403000
1 f2_4_x-c2161_n16_snr_15 15 2.337000 2.669000
1 f2_4_x-c2161_n16_snr_5 5 1.752000 2.132000
1 f2_4_x-c2161_n17_snr_0 0 1.478000 1.710000
1 f2_4_x-c2161_n17_snr_10 10 1.908000 2.333000
1 f2_4_x-c2161_n17_snr_15 15 2.236000 2.618000
1 f2_4_x-c2161_n17_snr_5 5 1.669000 2.035000
1 f2_4_x-c2161_n28_snr_0 0 1.698000 2.028000
1 f2_4_x-c2161_n28_snr_10 10 2.241000 2.661000
1 f2_4_x-c2161_n28_snr_15 15 2.562000 2.922000
1 f2_4_x-c2161_n28_snr_5 5 1.926000 2.369000
1 f2_4_x-c2161_n29_snr_0 0 1.450000 1.948000
1 f2_4_x-c2161_n29_snr_10 10 2.120000 2.606000
1 f2_4_x-c2161_n29_snr_15 15 2.442000 2.847000
1 f2_4_x-c2161_n29_snr_5 5 1.757000 2.314000
1 f2_4_x-c2161_n68_snr_0 0 1.473000 1.996000
1 f2_4_x-c2161_n68_snr_10 10 2.045000 2.524000
1 f2_4_x-c2161_n68_snr_15 15 2.384000 2.740000
1 f2_4_x-c2161_n68_snr_5 5 1.734000 2.284000
1 f2_4_x-c2161_n69_snr_0 0 1.290000 1.888000
1 f2_4_x-c2161_n69_snr_10 10 1.848000 2.442000
1 f2_4_x-c2161_n69_snr_15 15 2.216000 2.695000
1 f2_4_x-c2161_n69_snr_5 5 1.541000 2.165000
1 f2_4_x-c2161_n77_snr_0 0 1.675000 1.688000
1 f2_4_x-c2161_n77_snr_10 10 2.282000 2.391000
1 f2_4_x-c2161_n77_snr_15 15 2.626000 2.718000
1 f2_4_x-c2161_n77_snr_5 5 1.971000 2.063000
1 f2_4_x-c2161_n78_snr_0 0 0.922000 1.778000
1 f2_4_x-c2161_n78_snr_10 10 2.306000 2.413000
1 f2_4_x-c2161_n78_snr_15 15 2.636000 2.743000
1 f2_4_x-c2161_n78_snr_5 5 2.008000 2.078000
1 f2_4_x-c2161_STATION_ch01_snr_0 0 1.560000 2.088000
1 f2_4_x-c2161_STATION_ch01_snr_10 10 2.363000 2.733000
1 f2_4_x-c2161_STATION_ch01_snr_15 15 2.726000 3.000000
1 f2_4_x-c2161_STATION_ch01_snr_5 5 1.954000 2.427000
1 f2_4_x-c2161_STO_16k_ch01_snr_0 0 1.392000 1.812000
1 f2_4_x-c2161_STO_16k_ch01_snr_10 10 2.144000 2.549000
1 f2_4_x-c2161_STO_16k_ch01_snr_15 15 2.541000 2.830000
1 f2_4_x-c2161_STO_16k_ch01_snr_5 5 1.736000 2.188000
1 f2_4_x-c2161_TER_16k_ch01_snr_0 0 1.792000 2.152000
1 f2_4_x-c2161_TER_16k_ch01_snr_10 10 2.529000 2.870000
1 f2_4_x-c2161_TER_16k_ch01_snr_15 15 2.902000 3.105000
1 f2_4_x-c2161_TER_16k_ch01_snr_5 5 2.150000 2.523000
1 f2_4_x-c2161_WAY_16k_ch01_snr_0 0 2.860000 3.163000
1 f2_4_x-c2161_WAY_16k_ch01_snr_10 10 3.367000 3.356000
1 f2_4_x-c2161_WAY_16k_ch01_snr_15 15 3.529000 3.371000
1 f2_4_x-c2161_WAY_16k_ch01_snr_5 5 3.148000 3.287000
0 m1_3_t-c1151_ARK_16k_ch01_snr_0 0 2.778000 3.041000
0 m1_3_t-c1151_ARK_16k_ch01_snr_10 10 3.342000 3.389000
0 m1_3_t-c1151_ARK_16k_ch01_snr_15 15 3.571000 3.514000
0 m1_3_t-c1151_ARK_16k_ch01_snr_5 5 3.073000 3.216000
0 m1_3_t-c1151_CAR_16k_ch01_snr_0 0 3.449000 3.428000
0 m1_3_t-c1151_CAR_16k_ch01_snr_10 10 3.953000 3.540000
0 m1_3_t-c1151_CAR_16k_ch01_snr_15 15 4.110000 3.548000
0 m1_3_t-c1151_CAR_16k_ch01_snr_5 5 3.733000 3.512000
0 m1_3_t-c1151_HEN_16k.ch01_snr_0 0 2.483000 2.745000
0 m1_3_t-c1151_HEN_16k.ch01_snr_10 10 3.100000 3.145000
0 m1_3_t-c1151_HEN_16k.ch01_snr_15 15 3.332000 3.339000
0 m1_3_t-c1151_HEN_16k.ch01_snr_5 5 2.792000 2.966000
0 m1_3_t-c1151_ING_16k_ch01_snr_0 0 2.513000 2.436000
0 m1_3_t-c1151_ING_16k_ch01_snr_10 10 3.097000 3.229000
0 m1_3_t-c1151_ING_16k_ch01_snr_15 15 3.326000 3.368000
0 m1_3_t-c1151_ING_16k_ch01_snr_5 5 2.820000 2.766000
0 m1_3_t-c1151_n16_snr_0 0 2.060000 2.239000
0 m1_3_t-c1151_n16_snr_10 10 2.319000 2.722000
0 m1_3_t-c1151_n16_snr_15 15 2.623000 2.990000
0 m1_3_t-c1151_n16_snr_5 5 2.150000 2.466000
0 m1_3_t-c1151_n17_snr_0 0 1.794000 1.957000
0 m1_3_t-c1151_n17_snr_10 10 2.100000 2.597000
0 m1_3_t-c1151_n17_snr_15 15 2.432000 2.845000
0 m1_3_t-c1151_n17_snr_5 5 1.890000 2.273000
0 m1_3_t-c1151_n28_snr_0 0 2.269000 2.490000
0 m1_3_t-c1151_n28_snr_10 10 2.575000 2.936000
0 m1_3_t-c1151_n28_snr_15 15 2.848000 3.098000
0 m1_3_t-c1151_n28_snr_5 5 2.382000 2.750000
0 m1_3_t-c1151_n29_snr_0 0 1.952000 2.318000
0 m1_3_t-c1151_n29_snr_10 10 2.513000 2.851000
0 m1_3_t-c1151_n29_snr_15 15 2.802000 3.035000
0 m1_3_t-c1151_n29_snr_5 5 2.223000 2.603000
0 m1_3_t-c1151_n68_snr_0 0 1.666000 2.209000
0 m1_3_t-c1151_n68_snr_10 10 2.250000 2.730000
0 m1_3_t-c1151_n68_snr_15 15 2.584000 2.970000
0 m1_3_t-c1151_n68_snr_5 5 1.930000 2.463000
0 m1_3_t-c1151_n69_snr_0 0 1.601000 2.004000
0 m1_3_t-c1151_n69_snr_10 10 2.170000 2.596000
0 m1_3_t-c1151_n69_snr_15 15 2.512000 2.878000
0 m1_3_t-c1151_n69_snr_5 5 1.852000 2.281000
0 m1_3_t-c1151_n77_snr_0 0 2.233000 2.478000
0 m1_3_t-c1151_n77_snr_10 10 2.580000 3.005000
0 m1_3_t-c1151_n77_snr_15 15 2.851000 3.251000
0 m1_3_t-c1151_n77_snr_5 5 2.339000 2.724000
0 m1_3_t-c1151_n78_snr_0 0 1.778000 2.568000
0 m1_3_t-c1151_n78_snr_10 10 2.703000 3.049000
0 m1_3_t-c1151_n78_snr_15 15 2.949000 3.198000
0 m1_3_t-c1151_n78_snr_5 5 2.509000 2.817000
0 m1_3_t-c1151_STATION_ch01_snr_0 0 2.072000 2.549000
0 m1_3_t-c1151_STATION_ch01_snr_10 10 2.737000 3.053000
0 m1_3_t-c1151_STATION_ch01_snr_15 15 3.022000 3.211000
0 m1_3_t-c1151_STATION_ch01_snr_5 5 2.421000 2.831000
0 m1_3_t-c1151_STO_16k_ch01_snr_0 0 1.902000 2.251000
0 m1_3_t-c1151_STO_16k_ch01_snr_10 10 2.465000 2.822000
0 m1_3_t-c1151_STO_16k_ch01_snr_15 15 2.758000 3.035000
0 m1_3_t-c1151_STO_16k_ch01_snr_5 5 2.160000 2.540000
0 m1_3_t-c1151_TER_16k_ch01_snr_0 0 2.310000 2.661000
0 m1_3_t-c1151_TER_16k_ch01_snr_10 10 2.858000 3.147000
0 m1_3_t-c1151_TER_16k_ch01_snr_15 15 3.120000 3.319000
0 m1_3_t-c1151_TER_16k_ch01_snr_5 5 2.596000 2.950000
